login,20230612T1038
03 Time,03 Measurement,03 Setpoint,04 Time,04 Measurement,04 Setpoint
1686558916,0.0,0.0,1686558916,0.0,0.0
1686558918,0.0,0.0,1686558918,0.0,0.0
2,0.0,100.0,2,0.0,0.0
4,0.0,100.0,4,0.0,0.0
6,0.0,100.0,6,0.0,0.0
8,0.0,100.0,9,0.0,0.0
10,0.0,100.0,10,0.0,0.0
14,0.0,0.0,14,0.0,88.0
16,0.0,0.0,16,0.0,88.0
18,0.0,0.0,18,0.0,88.0
20,0.0,0.0,20,0.0,88.0
22,0.0,0.0,22,0.0,88.0
25,0.0,100.0,25,0.0,0.0
27,0.0,100.0,27,0.0,0.0
29,0.0,100.0,29,0.0,0.0
31,0.0,100.0,31,0.0,0.0
33,0.0,100.0,33,0.0,0.0
37,0.0,0.0,37,0.0,88.0
39,0.0,0.0,39,0.0,88.0
41,0.0,0.0,41,0.0,88.0
43,0.0,0.0,43,0.0,88.0
45,0.0,0.0,45,0.0,88.0
48,0.0,100.0,48,0.0,0.0
50,0.0,100.0,50,0.0,0.0
52,0.0,100.0,52,0.0,0.0
54,0.0,100.0,54,0.0,0.0
56,0.0,100.0,56,0.0,0.0
59,0.0,0.0,60,0.0,88.0
61,0.0,0.0,62,0.0,88.0
63,0.0,0.0,64,0.0,88.0
65,0.0,0.0,66,0.0,88.0
68,0.0,0.0,68,0.0,88.0
71,0.0,100.0,71,0.0,0.0
73,0.0,100.0,73,0.0,0.0
75,0.0,100.0,75,0.0,0.0
77,0.0,100.0,77,0.0,0.0
79,0.0,100.0,79,0.0,0.0
82,0.0,0.0,82,0.0,88.0
84,0.0,0.0,84,0.0,88.0
86,0.0,0.0,86,0.0,88.0
88,0.0,0.0,88,0.0,88.0
90,0.0,0.0,90,0.0,88.0
94,0.0,100.0,94,0.0,0.0
96,0.0,100.0,96,0.0,0.0
98,0.0,100.0,98,0.0,0.0
100,0.0,100.0,100,0.0,0.0
102,0.0,100.0,102,0.0,0.0
105,0.0,0.0,105,0.0,88.0
107,0.0,0.0,107,0.0,88.0
109,0.0,0.0,109,0.0,88.0
111,0.0,0.0,111,0.0,88.0
113,0.0,0.0,113,0.0,88.0
116,0.0,100.0,117,0.0,0.0
119,0.0,100.0,119,0.0,0.0
121,0.0,100.0,121,0.0,0.0
123,0.0,100.0,123,0.0,0.0
125,0.0,100.0,125,0.0,0.0
128,0.0,100.0,128,0.0,0.0
130,0.0,100.0,130,0.0,0.0
132,0.0,100.0,132,0.0,0.0
134,0.0,100.0,134,0.0,0.0
136,0.0,100.0,136,0.0,0.0
138,0.0,0.0,138,0.0,0.0
140,0.0,0.0,140,0.0,0.0
142,0.0,0.0,142,0.0,0.0
144,0.0,0.0,144,0.0,0.0
146,0.0,0.0,146,0.0,0.0
148,0.0,0.0,148,0.0,0.0
150,0.0,0.0,150,0.0,0.0
152,0.0,0.0,152,0.0,0.0
154,0.0,0.0,154,0.0,0.0
156,0.0,0.0,156,0.0,0.0
158,0.0,0.0,158,0.0,0.0
160,0.0,0.0,160,0.0,0.0
162,0.0,0.0,162,0.0,0.0
164,0.0,0.0,164,0.0,0.0
